age,gender,profiles,cases,score
25,Male,2,0,
26,Male,1,0,
35,Male,1,0,
27,Female,2,0,
21,Male,1,0,
19,Male,2,0,
,Male,3,0,
26,Female,1,0,
24,Male,2,0,
29,Male,1,1,
23,Male,2,0,
23,Male,1,0,
25,Male,1,0,
27,Female,6,10,
29,Male,2,0,
27,Male,1,1,5
29,Male,2,0,
37,Female,2,1,
30,Male,1,0,
22,Male,1,0,
21,Male,1,0,
22,Female,1,0,
22,Male,1,0,
26,Male,1,0,
20,Male,3,6,
31,Male,4,1,
,Male,2,0,
28,Male,1,1,4
30,Female,9,2,5
,Male,2,1,
16,Male,3,0,
33,Female,1,2,
19,Male,2,0,
23,Male,1,1,
34,Male,3,5,
20,Male,1,0,
33,Male,5,2,5
19,Male,1,1,
30,Female,1,0,
,Male,2,0,
28,Male,3,0,
32,Male,2,0,
25,Male,2,1,5
14,Male,1,0,
23,Male,1,0,
20,Female,2,0,
34,Female,1,1,
28,Female,1,0,
32,Male,1,0,
20,Male,1,0,
28,Female,2,1,
,Female,2,1,5
23,Female,1,0,
32,Male,3,1,5
29,Male,2,5,
34,Male,1,1,
21,Male,2,0,
19,Male,1,0,
,Male,2,0,
40,Female,4,9,
,Male,1,0,
25,Male,1,1,
23,Male,1,2,
25,Male,2,0,
27,Male,1,1,5
30,Male,2,1,
,Male,1,0,
,Male,2,0,
21,Male,1,0,
39,Male,3,2,
24,Female,3,2,
,Male,2,0,
36,Male,2,5,
21,Male,3,0,
30,Male,1,0,
27,Female,1,0,
,Male,1,0,
23,Male,1,0,
24,Male,1,0,
24,Male,2,0,
19,Male,1,0,
22,Female,1,0,
23,Male,1,2,
26,Female,1,0,
21,Male,2,0,
,Female,3,1,
22,Male,1,0,
23,Female,1,0,
28,Male,1,0,
,Male,1,0,
25,Male,1,1,
25,Male,1,0,
,Female,2,0,
29,Male,6,0,
24,Female,2,2,
15,Male,1,0,
23,Female,1,0,
28,Male,1,0,
,Female,3,0,
29,Male,1,1,
37,Female,1,0,
24,Male,1,1,
,Male,1,0,
21,Male,1,0,
29,Female,1,1,
33,Male,2,0,
